"city","month","season","Latitude","Longitude","start"
"City_11","Aug","15/16",-21.255,-48.322,"/"
"City_8","Jul","15/16",-18.984,-47.461,"2015-07-15"
"City_18","Jul","15/16",-14.35,-46.645,"2015-07-24"
"City_8","Aug","15/16",-18.984,-47.461,"2015-08-20"
"City_18","Aug","15/16",-14.35,-46.645,"2015-08-24"
"City_11","Sep","15/16",-21.255,-48.322,"2015-09-07"
"City_8","Sep","15/16",-18.984,-47.461,"2015-09-16"
"City_18","Sep","15/16",-14.35,-46.645,"2015-09-17"
"City_11","Sep","15/16",-21.255,-48.322,"2015-09-21"
"City_8","Oct","15/16",-18.984,-47.461,"2015-10-14"
"City_18","Oct","15/16",-14.35,-46.645,"2015-10-14"
"City_15","Dec","16/16",-23.389,-48.723,"2015-12-21"
"City_15","Jan","16/16",-23.389,-48.723,"2016-01-21"
"City_15","Feb","16/16",-23.389,-48.723,"2016-02-03"
"City_17","Feb","16/16",-17.303,-49.018,"2016-02-23"
"City_18","Feb","16/16",-14.35,-46.645,"2016-02-27"
"City_9","Mar","16/16",-23.418,-49.091,"2016-03-16"
"City_13","Mar","16/16",-21.261,-48.496,"2016-03-18"
"City_18","Mar","16/16",-14.35,-46.645,"2016-03-23"
"City_13","Mar","16/16",-21.261,-48.496,"2016-03-30"
"City_13","Apr","16/16",-21.261,-48.496,"2016-04-11"
"City_17","Apr","16/16",-17.303,-49.018,"2016-04-12"
"City_1","Aug","16/17",-14.986,-47.784,"2016-08-13"
"City_13","Aug","16/17",-21.261,-48.496,"2016-08-15"
"City_6","Aug","16/17",-18.17,-47.942,"2016-08-17"
"City_4","Aug","16/17",-15.618,-46.423,"2016-08-18"
"City_5","Aug","16/17",-21.774,-47.086,"2016-08-18"
"City_20","Aug","16/17",-18.883,-47.586,"2016-08-19"
"City_5","Sep","16/17",-21.774,-47.086,"2016-09-06"
"City_13","Sep","16/17",-21.261,-48.496,"2016-09-09"
"City_3","Sep","16/17",-23.49,-48.413,"2016-09-15"
"City_6","Sep","16/17",-18.17,-47.942,"2016-09-15"
